Data-storage-ID,PI-ID,Origin country
USB-663,PI567265,China
USB-664,PI567272A,Taiwan
USB-666,PI567331,China
USB-669,PI567366A,China
USB-670,PI567370A,China
USB-672,PI567381B,China
USB-673,PI567390,China
USB-674,PI567392,China
USB-675,PI567394B,China
USB-676,PI567395,China
USB-677,PI567396B,China
USB-678,PI567398,China
USB-679,PI567404A,China
USB-680,PI567405,China
USB-682,PI567417B,China
USB-684,PI567458,China
USB-687,PI567503,China
USB-688,PI567541B,China
USB-689,PI567552,China
USB-690,PI567556,China
USB-691,PI567559,China
USB-694,PI567582A,China
USB-696,PI567593B,China
USB-697,PI567599,China
USB-699,PI567638,China
USB-700,PI567648C,China
USB-701,PI567721,China
USB-703,PI567772,China
USB-705,PI574478C,China
USB-706,PI578316C,Nepal
USB-707,PI578329C,Argentina
USB-708,PI578330,Argentina
USB-710,PI578490,China
USB-711,PI583366,USA
USB-712,PI587560A,China
USB-713,PI587575A,China
USB-715,PI587582,China
USB-717,PI587668A,China
USB-718,PI587788B,China
USB-719,PI587794,China
USB-728,PI587963,China
USB-729,PI588015B,China
USB-730,PI588026C,China
USB-732,PI592919,China
USB-733,PI592928,China
USB-734,PI592932,China
USB-735,PI592936,China
USB-737,PI594409B,China
USB-740,PI594467,China
USB-741,PI594470C,China
USB-742,PI594487,China
USB-743,PI594497,China
USB-745,PI594660A,China
USB-748,PI594753A,China
USB-749,PI594757,China
USB-750,PI594769,China
USB-751,PI594805A,China
USB-752,PI594810B,China
USB-753,PI594822,China
USB-754,PI594830,China
USB-755,PI594834A,China
USB-756,PI594839A,China
USB-758,PI594883,China
USB-759,PI597384,USA
USB-761,PI597402,Russia
USB-762,PI602492,China
USB-763,PI603174A,Korea
USB-765,PI603308A,China
USB-768,PI603356,China
USB-769,PI603401,China
USB-771,PI603408,China
USB-772,PI603412A,China
USB-773,PI603421B,China
USB-776,PI603446,China
USB-777,PI603451A,China
USB-778,PI603457B,China
USB-779,PI603477A,China
USB-780,PI603490,China
USB-781,PI603496B,China
USB-782,PI603502A,China
USB-783,PI603505,China
USB-784,PI603510,China
USB-786,PI603523,China
USB-787,PI603532,China
USB-788,PI603534B,China
USB-792,PI603554B,China
USB-793,PI603557,China
USB-794,PI603574,China
USB-795,PI603583,China
USB-798,PI603687A,China
USB-799,PI603696,China
USB-800,PI603740B,China
USB-801,PI603910C,Korea
USB-802,PI603911B,Korea
USB-803,PI605839A,Vietnam
USB-805,PI619615,USA
USB-806,PI628834,Brazil
USB-807,PI628867,Brazil
USB-812,PI632654,Vietnam
USB-814,PI632943B,Vietnam
USB-818,PI653874B,Vietnam
USB-819,PI656647,USA
